member_id,full_name,gender,date_of_birth,city,city_tier,state,occupation,marital_status,gym_branch_id,join_date,membership_type,referral_source,preferred_workout_time,has_personal_trainer,primary_goal,signup_channel
MBR-010588,Pratik Kher,Male,2005/03/05, Kolkata,Tier1,West Bengal,Student,Single,BR-017,16-11-2021,Standard,Friend Referral,Late Night,False,Weight Loss,App
MBR-009078,Rutuja Kher,Female,05-08-2003,Pune,Tier1,Maharashtra,Business Owner,Single,BR-038,2021/10/25,Standard,Walk-in,Morning,False,Weight Loss,App
MBR-008480,Ankit Bansal,Male,2002/08/01,Amritsar,Tier3,Punjab,Student,Single,BR-026,02-04-2024,Premium,Instagram Ad,Afternoon,True,General Fitness,In-person
MBR-004373,Neha Dhawan,Female,26-05-2005,Delhi,Tier1,Delhi,Student,Single,BR-018,18-06-2025,Basic,Justdial,Late Night,False,Weight Loss,Website
MBR-002703,Chirag Jadhav,Male,06-09-2008,Ahmedabad,Tier1,Gujarat,Student,Single,BR-038,2025/04/19,Basic,Friend Referral,Early Morning (5-7am),False,Muscle Gain,In-person
MBR-003358,Anjali Rana,Female,20-01-1997,Jaipur,Tier2,Rajasthan,Freelancer,Married,BR-013,2024/11/12,PT-Combo,Walk-in,Afternoon,True,Muscle Gain,App
MBR-016623,Rushabh Patel,Male,2002/03/24,Ahmedabad,Tier1,Gujarat,Student,Single,BR-038,04-04-2025,Basic,Corporate Tie-up,Evening (6-9pm),False,Weight Loss,In-person
MBR-008743,Priya Rao,Female,2005/07/16,Hyderabad,Tier1,Telangana,Student,Single,BR-022,04-04-2023,Basic,Walk-in,Evening (6-9pm),False,Muscle Gain,In-person
MBR-014852,Madhavi Iyengar,Female,10-10-2005,Jalandhar,Tier2,Punjab,Govt Employee,Single,BR-007,2022/01/19,Basic,Walk-in,Afternoon,False,Pre-Wedding Prep,App
MBR-009748,Rima Chakraborty,Female,17-12-1999,Ahmedabad,Tier1,Gujarat,Salaried-Non IT,Married,BR-038,25-04-2025,PT-Combo,Corporate Tie-up,Evening (6-9pm),True,Sports Training,In-person
MBR-001688,Revathi Krishnan,Female,28-11-1998,Bengaluru,Tier1,Karnataka,Salaried-Non IT,Married,BR-033,10-05-2025,Basic,Friend Referral,Late Night,False,Weight Loss,In-person
MBR-005891,Rutuja Bhatt,Female,1986/12/12,Ahmedabad,Tier1,Gujarat,Salaried-IT,Single,BR-038,2022/08/12,Premium,Walk-in,Evening (6-9pm),False,Sports Training,App
MBR-002273,Naveen Chandran,Male,1998/05/04,Hyderabad,Tier1,Telangana,Homemaker,Single,BR-022,07-02-2021,Basic,Instagram Ad,Early Morning (5-7am),False,General Fitness,In-person
MBR-009359,Rajesh Mukherjee,Male,06-02-1988,Nagpur,Tier2,Maharashtra,Salaried-IT,Married,BR-025,24-04-2023,Premium,Friend Referral,Evening (6-9pm),True,General Fitness,App
MBR-011818,Radha Reddy,Female,,Mumbai,Tier1,Maharashtra,Salaried-Non IT,Married,BR-026,2025/09/25,Standard,Friend Referral,Afternoon,False,General Fitness,Website
MBR-014346,Sowmya Naidu,Female,1992/09/11,Bangalore,Tier1,Karnataka,Student,Single,BR-033,08-03-2021,Standard,Walk-in,Evening (6-9pm),False,General Fitness,App
MBR-013641,Anitha Nair,Female,2000/06/27,Hyderabad,Tier1,Telangana,Salaried-IT,Single,BR-034,03-09-2024,PT-Combo,Friend Referral,Evening (6-9pm),True,Weight Loss,In-person
MBR-001151,Chirag Kulkarni,Male,08-05-1994,Mumbai,Tier1,Maharashtra,Salaried-IT,Single,BR-016,12-07-2021,Standard,Corporate Tie-up,Morning,False,General Fitness,In-person
MBR-015857,Aditya Trivedi,Male,20-04-1993,Ahmedabad,Tier1,Gujarat,Salaried-Non IT,Married,BR-038,24-01-2023,Basic,Justdial,Evening (6-9pm),False,General Fitness,App
MBR-000257,Anita Anand,Female,20-11-1983,Delhi,Tier1,Delhi,Homemaker,Other,BR-005,28-11-2021,Basic,Friend Referral,Evening (6-9pm),False,Muscle Gain,App
MBR-001111,Suman Chatterjee,Male,21-09-1996,Bengaluru,Tier1,Karnataka,Business Owner,Married,BR-033,26-03-2023,Premium,Corporate Tie-up,Morning,True,Weight Loss,App
MBR-006920,Harish Krishnan,Male,08-12-1996,Vadodara,Tier2,Gujarat,Govt Employee,Single,BR-003,2023/12/14,Standard,Justdial,Late Night,False,Muscle Gain,Website
MBR-000080,Nithya Murthy,Female,1970/04/17,Bengaluru,Tier1,Karnataka,Homemaker,Married,BR-033,22-10-2022,Premium,Friend Referral,Evening (6-9pm),True,Weight Loss,Website
MBR-010609,Sanjay Mehta,Male,1993/12/04,Mumbai,Tier1,Maharashtra,Salaried-IT,Married,BR-036,2021/01/22,Standard,Instagram Ad,Evening (6-9pm),False,Weight Loss,App
MBR-008056,Mahesh Iyengar,Male,1985/09/15,Bangalore,Tier1,Karnataka,Business Owner,Other,BR-033,28-01-2024,Premium,Walk-in,Morning,True,Muscle Gain,In-person
MBR-004022,Ranjan Sen,Male,2005/04/07,Delhi,Tier1,Delhi,Salaried-IT,Single,BR-005,07-10-2022,Premium,Walk-in,Morning,False,General Fitness,App
MBR-000563,Ashok Ghosh,Male,28-05-1993,Bangalore,Tier1,Karnataka,Business Owner,Married,BR-033,15-06-2021,Basic,Walk-in,Afternoon,False,Muscle Gain,In-person
MBR-010673,Rushabh Kale,Male,24-10-1995,Mumbai,Tier1,Maharashtra,Student,Married,BR-026,07-08-2022,Premium,Walk-in,Early Morning (5-7am),False,Weight Loss,Website
MBR-004675,Revathi Naidu,Female,15-05-1998,Bengaluru,Tier1,Karnataka,Student,Single,BR-033,16-01-2024,Premium,Walk-in,Late Night,False,General Fitness,App
MBR-004461,Santhosh Nair,Male,1996/05/06,Hyderabad,Tier1,Telangana,Freelancer,Single,BR-034,12-04-2024,Basic,Instagram Ad,Morning,False,Weight Loss,App
MBR-000800,Ritu Saxena,Female,12-07-2006,Lucknow,Tier2,Uttar Pradesh,Student,Single,BR-040,26-04-2022,Premium,Instagram Ad,Early Morning (5-7am),False,Sports Training,App
MBR-017223,Ankit Aggarwal,Male,17-09-1995,Mumbai,Tier1,Maharashtra,Business Owner,Single,BR-036,2024/01/09,Premium,Instagram Ad,Early Morning (5-7am),False,Weight Loss,In-person
MBR-015592,Neha Grover,Female,16-07-1991,Delhi,Tier1,Delhi,Salaried-Non IT,Married,BR-018,2021/07/21,Standard,Friend Referral,Early Morning (5-7am),False,Muscle Gain,In-person
MBR-011710,Priya Aggarwal,Female,1993/11/09,Chandigarh,Tier2,Punjab,Homemaker,Other,BR-008,2025/03/21,Premium,Instagram Ad,Afternoon,False,General Fitness,App
MBR-002374,Rupa Bose,Female,15-04-1981,Guwahati,Tier3,Assam,Salaried-Non IT,Married,BR-031,15-06-2022,Basic,Friend Referral,Evening (6-9pm),False,Sports Training,In-person
MBR-011204,Kiran Nambiar,Male,17-07-1995,Chennai,Tier1,Tamil Nadu,Student,Single,BR-010,2021/07/15,Basic,Instagram Ad,Evening (6-9pm),False,General Fitness,App
MBR-015976,Kajal Save,Female,2002/08/18,Surat,Tier2,Gujarat,Salaried-Non IT,Single,BR-031,2022/01/01,Standard,Aggregator App,Evening (6-9pm),False,General Fitness,In-person
MBR-000375,Manish Singh,Male,13-05-1989,Jaipur,Tier2,Rajasthan,Student,Married,BR-013,01-02-2022,Basic,Walk-in,Evening (6-9pm),False,Weight Loss,App
MBR-013933,Mohit Malhotra,Male,1991/06/20,Lucknow,Tier2,Uttar Pradesh,Salaried-Non IT,Married,BR-004,24-10-2023,PT-Combo,Friend Referral,Early Morning (5-7am),True,Weight Loss,In-person
MBR-014879,Ganesh Shetty,Male,1993/06/13,Bangalore,Tier1,Karnataka,Business Owner,Other,BR-033,2025/02/03,Standard,Walk-in,Evening (6-9pm),False,Rehab,In-person
MBR-007701,Manisha Chauhan,Female,16-01-1987,Delhi,Tier1,Delhi,Govt Employee,Married,BR-028,2021/10/02,Standard,Friend Referral,Evening (6-9pm),False,Weight Loss,In-person
MBR-015137,Ranjan Mukherjee,Male,04-03-1995,Kolkata,Tier1,West Bengal,Salaried-Non IT,Single,BR-017,2024/10/17,Premium,Walk-in,Evening (6-9pm),False,Sports Training,App
MBR-009782,Rajesh Ghosh,Male,11-06-1998,Chennai,Tier1,Tamil Nadu,Salaried-IT,Married,BR-002,03-01-2024,Standard,Instagram Ad,Afternoon,False,Muscle Gain,In-person
MBR-004635,Sudip Sarkar,Male,07-06-1994,Coimbatore,Tier2,Tamil Nadu,Salaried-IT,Married,BR-014,03-07-2023,Premium,Friend Referral,Evening (6-9pm),False,Muscle Gain,In-person
MBR-009641,Vignesh Balan,Male,1997/12/17,Coimbatore,Tier2,Tamil Nadu,Salaried-Non IT,Single,BR-019,2021/01/12,Standard,Friend Referral,Early Morning (5-7am),False,Muscle Gain,Website
MBR-008184,Anand Iyer,Male,09-11-1994,Bangalore,Tier1,Karnataka,Freelancer,Single,BR-033,06-10-2024,Premium,Walk-in,Evening (6-9pm),False,Pre-Wedding Prep,In-person
MBR-006716, Ganesh Menon,Male,2001/10/24,Mumbai,Tier1,Maharashtra,Student,Single,BR-036,10-09-2023,Premium,Walk-in,Evening (6-9pm),False,Weight Loss,App
MBR-014370,Aditi Dhawan,Female,1996/12/27,Lucknow,Tier2,Uttar Pradesh,Salaried-Non IT,Single,BR-004,2024/03/15,Standard,Walk-in,Afternoon,False,Weight Loss,In-person
MBR-017488,Omkar Shah,Male,2003/06/15,Mumbai,Tier1,Maharashtra,Student,Single,BR-036,2024/04/05,Basic,Walk-in,Afternoon,False,Weight Loss,In-person
MBR-011506,Naveen Rana,Male,12-12-2004,Visakhapatnam,Tier2,Andhra Pradesh,Salaried-IT,Single,BR-024,26-07-2022,Standard,Friend Referral,Morning,False,Weight Loss,App
MBR-011529,Revathi Balan,Female,26-12-1998,Bengaluru,Tier1,Karnataka,Business Owner,Single,BR-033,22-12-2021,Premium,Walk-in,Afternoon,False,Sports Training,In-person
MBR-007377,Omkar Bhosale,Male,05-09-1991,Surat,Tier2,Gujarat,Govt Employee,Single,BR-031,21-01-2021,Premium,Friend Referral,Evening (6-9pm),False,Pre-Wedding Prep,Website
MBR-002366,Ritu Aggarwal,Female,1996/03/08,Indore,Tier2,Madhya Pradesh,Salaried-Non IT,Single,BR-018,05-06-2024,Premium,Walk-in,Late Night,False,Muscle Gain,In-person
MBR-017155,Trupti Deshmukh,Female,05-02-1985,Nashik,Tier3,Maharashtra,Govt Employee,Married,BR-012,07-05-2025,Basic,Walk-in,Morning,False,Sports Training,In-person
MBR-014548,Aditya Khurana,Male,1994/02/03,Ahmedabad,Tier1,Gujarat,Business Owner,Married,BR-038,2025/01/24,Premium,Instagram Ad,Late Night,False,Weight Loss,In-person
MBR-015608,Mohit Aggarwal,Male,15-04-2008,Jalandhar,Tier2,Punjab,Student,Single,BR-007,27-01-2024,Premium,Instagram Ad,Morning,False,General Fitness,Website
MBR-000619,Manoj Nair,Male,,Coimbatore,Tier2,Tamil Nadu,Govt Employee,Single,BR-014,13-02-2023,Premium,Instagram Ad,Afternoon,False,Pre-Wedding Prep,App
MBR-000492,Yash Aggarwal,Male,04-10-1995,Nagpur,Tier2,Maharashtra,Business Owner,Married,BR-021,04-09-2022,Standard,Instagram Ad,Late Night,False,Weight Loss,In-person
MBR-013883,Amit Malhotra,Male,1999/04/12,Delhi,Tier1,Delhi,Salaried-Non IT,Married,BR-018,12-08-2025,Basic,Justdial,Afternoon,False,Sports Training,In-person
MBR-001594,Tarun Verma,Male,14-07-1977,Jaipur,Tier2,Rajasthan,Govt Employee,Married,BR-013,2022/10/21,PT-Combo,Instagram Ad,Evening (6-9pm),True,General Fitness,In-person
MBR-014410,Ashish Mishra,Male,2001/02/09,Bengaluru,Tier1,Karnataka,Salaried-IT,Married,BR-033,2022/11/24,Premium,Walk-in,Evening (6-9pm),False,Muscle Gain,In-person
MBR-007969,Suman Saha,Male,20-11-1983,Patna,Tier3,Bihar,Salaried-Non IT,Married,BR-023,17-03-2022,Basic,Corporate Tie-up,Afternoon,False,General Fitness,App
MBR-014801,Parth Trivedi,Male,1997/02/02,Mumbai,Tier1,Maharashtra,Salaried-IT,Single,BR-016,08-02-2025,Standard,Justdial,Late Night,False,General Fitness,In-person
MBR-012680,Karthik Pillai,Male,03-07-1991,Bengaluru,Tier1,Karnataka,Freelancer,Married,BR-033,26-09-2022,Premium,Friend Referral,Evening (6-9pm),False,Muscle Gain,Website
MBR-010321,Uma Shetty,Female,19-10-1994,Hyderabad,Tier1,Telangana,Business Owner,Single,BR-022,16-11-2022,Basic,Instagram Ad,Late Night,False,Sports Training,In-person
MBR-006975,Karan Khurana,Male,2000/01/14,Indore,Tier2,Madhya Pradesh,Student,Single,BR-018,2021/01/15,Premium,Instagram Ad,Evening (6-9pm),False,Muscle Gain,App
MBR-016247,Prasad Rao,Male,09-04-1996,Mumbai,Tier1,Maharashtra,Freelancer,Married,BR-036,2023/08/14,Basic,Instagram Ad,Evening (6-9pm),False,General Fitness,App
MBR-014038,Swati Saxena,Female,1995/02/18,Indore,Tier2,Madhya Pradesh,Salaried-Non IT,Married,BR-018,27-09-2022,Premium,Instagram Ad,Evening (6-9pm),False,Muscle Gain,App
MBR-014390,Anirban Das,Male,2005/07/13,Kolkata,Tier1,West Bengal,Student,Single,BR-017,2023/03/22,Premium,Justdial,Late Night,False,Muscle Gain,In-person
MBR-011739,Prasad Varma,Male,,Hyderabad,Tier1,Telangana,Salaried-Non IT,Single,BR-022,2021/04/18,Premium,Instagram Ad,Afternoon,False,Weight Loss,Website
MBR-015469,Tarun Bhatia,Male,,Delhi,Tier1,Delhi,Freelancer,Single,BR-018,2022/04/27,Basic,Instagram Ad,Late Night,False,Weight Loss,Website
MBR-005539,Rima Banerjee,Female,2005/06/26,Surat,Tier2,Gujarat,Salaried-IT,Single,BR-031,2025/06/09,Standard,Walk-in,Evening (6-9pm),False,General Fitness,In-person
MBR-016688,Ananya Chatterjee,Female,2008/01/08,Pune,Tier1,Maharashtra,Student,Single,BR-038,11-10-2022,Basic,Walk-in,Evening (6-9pm),False,Weight Loss,In-person
MBR-015463,Mahesh Chandran,Male,2001/08/25,Bangalore,Tier1,Karnataka,Salaried-Non IT,Single,BR-033,23-02-2023,PT-Combo,Walk-in,Evening (6-9pm),False,Muscle Gain,App
MBR-009039,Rohit Trivedi,Male,11-08-1994,Pune,Tier1,Maharashtra,Salaried-Non IT,Married,BR-027,2025/09/27,Standard,Friend Referral,Late Night,False,Muscle Gain,App
MBR-008984,Amit Kale,Male,2006/07/23,Gurgaon,Tier1,Haryana,Student,Single,BR-037,2023/04/25,Basic,Instagram Ad,Early Morning (5-7am),False,General Fitness,App
MBR-015172,Suresh Gowda,Male,1994/02/03,Coimbatore,Tier2,Tamil Nadu,Student,Married,BR-014,2023/01/14,Basic,Walk-in,Morning,False,General Fitness,In-person
MBR-000090,Sathish Krishnan,Male,1990/11/09,Mysore,Tier3,Karnataka,Homemaker,Single,BR-029,27-01-2022,Standard,Corporate Tie-up,Evening (6-9pm),False,General Fitness,In-person
MBR-002417,Ashish Bhatia,Male,1997/12/03,Nagpur,Tier2,Maharashtra,Salaried-Non IT,Single,BR-025,2024/09/04,Standard,Walk-in,Evening (6-9pm),False,Muscle Gain,App
MBR-011370,Sathish Subramaniam,Male,1997/06/13,Chennai,Tier1,Tamil Nadu,Homemaker,Single,BR-015,2025/03/20,Standard,Instagram Ad,Morning,False,General Fitness,Website
MBR-006907,Rohan Anand,Male,25-11-2001,Patna,Tier3,Bihar,Salaried-Non IT,Single,BR-006,2024/11/20,PT-Combo,Walk-in,Evening (6-9pm),False,Rehab,App
MBR-011270,Rajesh Khanna,Male,1996/05/05,Delhi,Tier1,Delhi,Business Owner,Single,BR-005,2024/01/05,Basic,Aggregator App,Late Night,True,Muscle Gain,Website
MBR-007393,Karan Tiwari,Male,28-04-1997,Nashik,Tier3,Maharashtra,Business Owner,Married,BR-012,17-10-2022,Basic,Walk-in,Evening (6-9pm),False,General Fitness,App
MBR-010567,Aparna Kale,Female,1999/01/20,Mumbai,Tier1,Maharashtra,Business Owner,Married,BR-016,19-11-2024,Basic,Walk-in,Morning,False,General Fitness,App
MBR-009030,Ravi Pillai,Male,2003/05/11,Hyderabad,Tier1,Telangana,Student,Single,BR-011,09-07-2025,Basic,Walk-in,Evening (6-9pm),False,Muscle Gain,In-person
MBR-015549,Tanushree Pal,Female,05-02-1983,Kolkata,Tier1,West Bengal,Salaried-Non IT,Married,BR-017,2023/04/11,Standard,Friend Referral,Afternoon,False,General Fitness,In-person
MBR-017033,Ankit Grover,Male,1996/06/22,Nagpur,Tier2,Maharashtra,Freelancer,Married,BR-025,11-01-2022,Standard,Corporate Tie-up,Evening (6-9pm),False,General Fitness,App
MBR-016116,Amit Saha,Male,23-11-2002,Kolkata,Tier1,West Bengal,Student,Single,BR-017,12-01-2024,Premium,Instagram Ad,Early Morning (5-7am),False,General Fitness,App
MBR-011693,Ananya Ghosh,Female,05-02-1998,Ranchi,Tier3,Jharkhand,Freelancer,Other,BR-013,18-08-2024,Standard,Instagram Ad,Early Morning (5-7am),False,Muscle Gain,In-person
MBR-015873,Komal Mishra,Female,28-09-1992,Chandigarh,Tier2,Punjab,Salaried-IT,Married,BR-008,2023/12/20,Standard,Instagram Ad,Evening (6-9pm),False,Weight Loss,In-person
MBR-000392,Mansi Joshi ,Female,13-09-1993,Chennai,Tier1,Tamil Nadu,Salaried-IT,Single,BR-015,06-04-2024,Standard,Walk-in,Evening (6-9pm),False,Muscle Gain,In-person
MBR-007371,Divya Chopra,Female,05-07-2006,Delhi,Tier1,Delhi,Student,Single,BR-028,10-12-2024,Basic,Aggregator App,Evening (6-9pm),False,Weight Loss,App
MBR-002094,Rajesh Sarkar,Male,22-04-1999,Kolkata,Tier1,West Bengal,Student,Married,BR-017,13-09-2025,Standard,Instagram Ad,Evening (6-9pm),False,Sports Training,App
MBR-002285,Komal Kale,Female,22-01-1972,Pune,Tier1,Maharashtra,Business Owner,Married,BR-027,2021/04/13,Basic,Walk-in,Evening (6-9pm),False,Sports Training,App
MBR-005082,Anil Grover,Male,19-03-2009,Gurugram,Tier1,Haryana,Business Owner,Single,BR-009,2025/02/22,Standard,Friend Referral,Early Morning (5-7am),True,General Fitness,App
MBR-011076,Anjali Malhotra,Female,27-06-2001,Delhi,Tier1,Delhi,Salaried-Non IT,Single,BR-005,19-01-2023,Basic,Aggregator App,Evening (6-9pm),False,Muscle Gain,In-person
MBR-011732,Ravi Raman,Male,1996/12/14,Chennai,Tier1,Tamil Nadu,Salaried-Non IT,Single,BR-010,2025/05/19,Premium,Corporate Tie-up,Evening (6-9pm),False,Weight Loss,In-person
MBR-002298,Subrata Bhattacharya,Other,07-11-2002,Kolkata,Tier1,West Bengal,Salaried-IT,Single,BR-017,2025/07/15,Basic,Walk-in,Evening (6-9pm),False,Muscle Gain,In-person
MBR-005630,Mihir Desai,Male,,Mumbai,Tier1,Maharashtra,Business Owner,Married,BR-036,2023/10/27,Premium,Instagram Ad,Early Morning (5-7am),False,Weight Loss,Website
MBR-016838,Mohit Mishra,Male,1992/03/13,Jalandhar,Tier2,Punjab,Student,Single,BR-007,01-01-2024,Premium,Friend Referral,Late Night,False,General Fitness,Website
MBR-017195,Kunal Aggarwal,Male,25-08-2007,Ahmedabad,Tier1,Gujarat,Student,Single,BR-038,2024/02/12,PT-Combo,Friend Referral,Afternoon,True,General Fitness,App
MBR-010759,Nisha Pawar,Female,1992/05/16,Mumbai,Tier1,Maharashtra,Salaried-Non IT,Married,BR-016,17-11-2023,Basic,Corporate Tie-up,Early Morning (5-7am),False,Muscle Gain,In-person
MBR-001230,Anand Iyengar,Male,18-05-1994,Bangalore,Tier1,Karnataka,Salaried-Non IT,Married,BR-033,2024/01/23,Premium,Aggregator App,Evening (6-9pm),False,Weight Loss,In-person
MBR-016334,Rahul Bhalla,Male,24-06-2000,Delhi,Tier1,Delhi,Salaried-Non IT,Other,BR-018,2025/02/02,Basic,Corporate Tie-up,Evening (6-9pm),True,Muscle Gain,In-person
MBR-001911,Ashish Rathi,Male,1992/08/04,Amritsar,Tier3,Punjab,Homemaker,Single,BR-026,07-11-2021,Standard,Walk-in,Morning,True,General Fitness,App
MBR-006037,Sanjay Bhatia,Male,20-10-1994,Jalandhar,Tier2,Punjab,Salaried-IT,Single,BR-007,10-04-2024,Basic,Instagram Ad,Evening (6-9pm),False,General Fitness,In-person
MBR-000787,Simran Chopra,Female,20-06-2007,Gurgaon,Tier1,Haryana,Salaried-IT,Single,BR-009,06-08-2025,Premium,Friend Referral,Morning,False,Weight Loss,Website
MBR-017340,Karthik Subramaniam,Male,27-02-2000,Chennai,Tier1,Tamil Nadu,Homemaker,Single,BR-010,19-01-2023,Premium,Friend Referral,Morning,False,Pre-Wedding Prep,App
MBR-010590,Jyoti Grover,Female,2000/02/22,Pune,Tier1,Maharashtra,Business Owner,Single,BR-027,26-01-2024,Basic,Corporate Tie-up,Evening (6-9pm),False,Pre-Wedding Prep,In-person
MBR-007057,Suresh Raman,Male,19-09-1999,Visakhapatnam,Tier2,Andhra Pradesh,Govt Employee,Married,BR-024,27-03-2024,Basic,Instagram Ad,Morning,False,General Fitness,In-person
MBR-000809,Rutuja Kulkarni,Female,1999/11/04,Delhi,Tier1,Delhi,Govt Employee,Single,BR-028,28-05-2023,Standard,Friend Referral,Early Morning (5-7am),False,Muscle Gain,In-person
MBR-013768,Pooja Menon,Female,2008/06/16,Coimbatore,Tier2,Tamil Nadu,Freelancer,Single,BR-019,06-05-2025,Basic,Friend Referral,Evening (6-9pm),False,Muscle Gain,App
MBR-004057,Kaushik Mukherjee,Male,01-03-1996,Jaipur,Tier2,Rajasthan,Business Owner,Single,BR-020,13-12-2023,Premium,Justdial,Evening (6-9pm),True,Weight Loss,In-person
MBR-002428,Rekha Khurana,Female,05-04-1992,Mumbai,Tier1,Maharashtra,Salaried-IT,Married,BR-016,2023/03/26,Premium,Corporate Tie-up,Evening (6-9pm),False,Sports Training,In-person
MBR-013509,Dinesh Naidu,Male,1994/12/03,Chennai,Tier1,Tamil Nadu,Business Owner,Single,BR-002,18-10-2023,PT-Combo,Corporate Tie-up,Evening (6-9pm),True,Weight Loss,Website
MBR-005446,Anjali Mishra,Female,,Delhi,Tier1,Delhi,Salaried-IT,Single,BR-028,07-02-2025,Premium,Corporate Tie-up,Morning,False,Weight Loss,Website
MBR-012156,Abhinav Bhalla,Male,06-10-1999,Delhi,Tier1,Delhi,Homemaker,Single,BR-028,2023/04/08,Basic,Justdial,Early Morning (5-7am),False,Muscle Gain,App
MBR-005057,Kunal Kulkarni,Male,2000/01/21,Mumbai,Tier1,Maharashtra,Student,Single,BR-036,01-03-2022,Premium,Instagram Ad,Evening (6-9pm),False,General Fitness,In-person
MBR-011973,Santhosh Achary,Male,1990/03/12,Hyderabad,Tier1,Telangana,Business Owner,Single,BR-022,13-02-2023,Premium,Walk-in,Evening (6-9pm),False,Muscle Gain,App
MBR-004276,Paromita Banerjee,Female,2000/11/15,Patna,Tier3,Bihar,Salaried-IT,Single,BR-006,12-05-2024,Basic,Walk-in,Morning,True,Muscle Gain,App
MBR-003133,Divya Rao,Female,15-03-2000,Hyderabad,Tier1,Telangana,Freelancer,Single,BR-011,19-02-2023,Standard,Walk-in,Early Morning (5-7am),False,Muscle Gain,Website
MBR-000846,Kavita Tiwari,Female,28-03-1999,Bhopal,Tier2,Madhya Pradesh,Homemaker,Married,BR-034,16-03-2024,PT-Combo,Friend Referral,Early Morning (5-7am),False,Muscle Gain,App
MBR-009854,Piya Pal,Female,1999/01/19,Jaipur,Tier2,Rajasthan,Salaried-Non IT,Married,BR-020,03-04-2022,Basic,Instagram Ad,Evening (6-9pm),False,General Fitness,App
MBR-001784,Aditya Chavan,Male,23-01-1975,Visakhapatnam,Tier2,Andhra Pradesh,Salaried-Non IT,Single,BR-024,24-02-2023,Basic,Instagram Ad,Evening (6-9pm),False,Weight Loss,App
MBR-017030,Biswajit Mukherjee,Male,02-02-2001,Ahmedabad,Tier1,Gujarat,Student,Single,BR-038,2024/03/03,Basic,Friend Referral,Early Morning (5-7am),False,Muscle Gain,App
MBR-011082,Pratik Modi,Male,04-03-2000,Surat,Tier2,Gujarat,Salaried-IT,Single,BR-031,11-01-2024,Basic,Justdial,Early Morning (5-7am),False,General Fitness,In-person
MBR-006118,Rushabh Bhatt,Male,1995/05/19,Kolkata,Tier1,West Bengal,Salaried-IT,Single,BR-017,17-01-2024,Standard,Walk-in,Late Night,False,Muscle Gain,In-person
MBR-012842,Yash Rane,Male,20-12-1992,Mumbai,Tier1,Maharashtra,Homemaker,Married,BR-029,2025/01/05,Standard,Friend Referral,Afternoon,False,Muscle Gain,App
MBR-015898,Sohini Nag,Female,,Patna,Tier3,Bihar,Govt Employee,Single,BR-006,27-12-2022,Premium,Justdial,Afternoon,False,General Fitness,In-person
MBR-013424,Ganesh Nambiar,Male,,Chennai,Tier1,Tamil Nadu,Freelancer,Single,BR-010,28-10-2021,Premium,Walk-in,Morning,False,General Fitness,In-person
MBR-001112,Yash Mishra,Male,2003/01/11,Ranchi,Tier3,Jharkhand,Student,Single,BR-013,2023/11/01,Basic,Walk-in,Morning,False,Sports Training,App
MBR-000721,Sunita Sethi,Female,22-05-1996,Jaipur,Tier2,Rajasthan,Freelancer,Married,BR-020,2022/10/23,Premium,Walk-in,Late Night,True,Muscle Gain,In-person
MBR-014617,Anita Grover,Other,2006/08/13,Jalandhar,Tier2,Punjab,Salaried-Non IT,Single,BR-007,2023/04/17,PT-Combo,Aggregator App,Morning,True,Rehab,In-person
MBR-005993,Snehal Patel,Female,10-04-1999,Nagpur,Tier2,Maharashtra,Homemaker,Married,BR-007,2025/01/25,Standard,Justdial,Evening (6-9pm),False,Weight Loss,In-person
MBR-002915,Rajesh Tiwari,Male,27-10-2006,Delhi,Tier1,Delhi,Student,Single,BR-018,2024/11/06,Standard,Friend Referral,Early Morning (5-7am),False,General Fitness,App
MBR-003062,Manisha Khurana,Female,12-02-1980,Delhi,Tier1,Delhi,Salaried-Non IT,Married,BR-005,2021/04/15,Basic,Friend Referral,Evening (6-9pm),False,Weight Loss,In-person
MBR-014535,Sowmya Krishnan,Female,1992/12/06,Bengaluru,Tier1,Karnataka,Govt Employee,Married,BR-033,06-09-2023,Premium,Justdial,Early Morning (5-7am),False,Rehab,In-person
MBR-007716,Tapan Bose,Male,1994/10/12,Bhopal,Tier2,Madhya Pradesh,Salaried-IT,Single,BR-034,2022/01/12,Standard,Walk-in,Morning,False,General Fitness,Website
MBR-016235,Suresh Tiwari,Male,18-01-1992,Gurgaon,Tier1,Haryana,Business Owner,Married,BR-037,18-10-2024,Standard,Friend Referral,Late Night,False,Sports Training,App
MBR-016554,Prasad Rao,Male,2005/06/09,Hyderabad,Tier1,Telangana,Govt Employee,Single,BR-022,05-01-2024,Basic,Walk-in,Evening (6-9pm),False,Muscle Gain,Website
MBR-004803,Sohini Mukherjee,Female,27-07-2008,Gurugram,Tier1,Haryana,Student,Single,BR-037,18-01-2024,Basic,Instagram Ad,Late Night,False,Weight Loss,App
MBR-017227,Shobha Menon,Female,18-03-2003,Vadodara,Tier2,Gujarat,Student,Single,BR-003,04-03-2021,Basic,Justdial,Late Night,False,Muscle Gain,In-person
MBR-000119,Preeti Arora,Female,20-05-2000,Jaipur,Tier2,Rajasthan,Salaried-Non IT,Single,BR-020,11-08-2025,Standard,Instagram Ad,Morning,False,Muscle Gain,Website
MBR-009086,Jayesh Kher,Male,05-08-1994,Nashik,Tier3,Maharashtra,Salaried-IT,Single,BR-012,28-11-2024,Basic,Friend Referral,Evening (6-9pm),False,Muscle Gain,App
